Start Time (s),End Time (s),Duration (s),Speaker
7508.95,7516.38,7.43,SPEAKER_00
7516.7,7524.53,7.83,SPEAKER_01
7525.34,7555.81,30.47,SPEAKER_01
7528.42,7528.98,0.56,SPEAKER_00
7557.3,7576.28,18.98,SPEAKER_01
7576.53,7589.09,12.56,SPEAKER_00
7590.03,7591.45,1.42,SPEAKER_00
7592.7,7595.25,2.55,SPEAKER_00
7596.16,7670.19,74.03,SPEAKER_00
7670.97,7686.37,15.4,SPEAKER_00
7687.02,7698.52,11.5,SPEAKER_00
7699.37,7702.3,2.93,SPEAKER_00
7703.27,7713.83,10.56,SPEAKER_00
7714.59,7733.79,19.2,SPEAKER_00
7733.79,7743.58,9.79,SPEAKER_01
7744.76,7749.47,4.71,SPEAKER_01
7750.53,7758.28,7.75,SPEAKER_01
7759.19,7763.43,4.24,SPEAKER_01
7765.25,7766.18,0.93,SPEAKER_01
7766.92,7773.63,6.71,SPEAKER_01
7773.63,7819.96,46.33,SPEAKER_00
7821.29,7832.82,11.53,SPEAKER_00
7832.82,7844.56,11.74,SPEAKER_01
7844.91,7846.53,1.62,SPEAKER_00
7847.24,7864.2,16.96,SPEAKER_00
7864.93,7866.87,1.94,SPEAKER_00
7867.93,7883.44,15.51,SPEAKER_00
7884.28,7887.03,2.75,SPEAKER_00
7887.68,7922.69,35.01,SPEAKER_00
7923.4,7937.68,14.28,SPEAKER_00
7937.68,7965.12,27.44,SPEAKER_01
7965.66,8033.53,67.87,SPEAKER_00
8034.37,8106.87,72.5,SPEAKER_00
8108.25,8127.4,19.15,SPEAKER_00
8128.28,8137.44,9.16,SPEAKER_00
8138.19,8171.16,32.97,SPEAKER_00
8172.37,8199.27,26.9,SPEAKER_00
8200.4,8201.43,1.03,SPEAKER_00
8201.03,8201.2,0.17,SPEAKER_01
8202.41,8216.13,13.72,SPEAKER_01
8217.18,8220.62,3.44,SPEAKER_01
8221.41,8234.93,13.52,SPEAKER_01
8235.98,8256.53,20.55,SPEAKER_01
8256.53,8293.06,36.53,SPEAKER_00
8294.04,8333.09,39.05,SPEAKER_00
8334.41,8362.98,28.57,SPEAKER_00
8363.97,8368.71,4.74,SPEAKER_00
8369.81,8373.86,4.05,SPEAKER_00
8375.62,8418.87,43.25,SPEAKER_00
8420.01,8422.61,2.6,SPEAKER_00
8423.93,8425.45,1.52,SPEAKER_00
8426.53,8427.51,0.98,SPEAKER_00
8428.13,8431.98,3.85,SPEAKER_00
8431.98,8448.08,16.1,SPEAKER_01
8448.45,8493.47,45.02,SPEAKER_00
8493.47,8539.98,46.51,SPEAKER_01
8540.08,8564.75,24.67,SPEAKER_00
8565.95,8605.91,39.96,SPEAKER_00
8606.69,8609.74,3.05,SPEAKER_00
8610.36,8613.77,3.41,SPEAKER_00
8614.74,8642.53,27.79,SPEAKER_00
8644.11,8645.38,1.27,SPEAKER_00
8646.58,8648.16,1.58,SPEAKER_00
8648.81,8698.03,49.22,SPEAKER_00
8698.65,8700.71,2.06,SPEAKER_00
8701.62,8719.97,18.35,SPEAKER_00
8719.36,8751.36,32.0,SPEAKER_01
8751.36,8813.61,62.25,SPEAKER_00
8814.7,8829.06,14.36,SPEAKER_00
8831.01,8861.82,30.81,SPEAKER_00
8862.56,8932.04,69.48,SPEAKER_00
8932.96,8967.9,34.94,SPEAKER_00
8968.69,8970.7,2.01,SPEAKER_00
8971.74,8975.61,3.87,SPEAKER_00
8976.84,8980.53,3.69,SPEAKER_00
8981.33,8985.82,4.49,SPEAKER_00
8986.86,9012.75,25.89,SPEAKER_00
9013.69,9021.07,7.38,SPEAKER_00
9021.9,9044.09,22.19,SPEAKER_01
9044.09,9046.94,2.85,SPEAKER_00
9048.68,9068.15,19.47,SPEAKER_00
9069.01,9079.71,10.7,SPEAKER_00
9080.42,9111.97,31.55,SPEAKER_00
9111.97,9125.12,13.15,SPEAKER_01
9125.12,9166.35,41.23,SPEAKER_00
9167.31,9209.28,41.97,SPEAKER_00
9210.1,9230.94,20.84,SPEAKER_00
9231.69,9252.95,21.26,SPEAKER_00
9253.57,9268.49,14.92,SPEAKER_00
9269.82,9281.58,11.76,SPEAKER_00
9282.38,9298.85,16.47,SPEAKER_00
9288.55,9288.84,0.29,SPEAKER_01
9299.81,9327.25,27.44,SPEAKER_00
9328.67,9331.96,3.29,SPEAKER_00
9333.0,9334.15,1.15,SPEAKER_00
9335.21,9351.14,15.93,SPEAKER_00
9352.19,9384.35,32.16,SPEAKER_00
9385.3,9424.6,39.3,SPEAKER_00
9425.51,9428.9,3.39,SPEAKER_00
9429.78,9432.51,2.73,SPEAKER_00
9434.0,9461.47,27.47,SPEAKER_00
9462.99,9474.04,11.05,SPEAKER_00
9474.8,9485.03,10.23,SPEAKER_00
9485.87,9487.58,1.71,SPEAKER_00
9488.98,9503.96,14.98,SPEAKER_00
9505.04,9519.51,14.47,SPEAKER_00
9520.6,9524.16,3.56,SPEAKER_00
9525.66,9537.71,12.05,SPEAKER_00
9539.33,9542.64,3.31,SPEAKER_00
9543.69,9548.78,5.09,SPEAKER_00
9550.18,9564.93,14.75,SPEAKER_00
9565.86,9575.53,9.67,SPEAKER_00
9576.61,9585.2,8.59,SPEAKER_00
9587.16,9588.22,1.06,SPEAKER_00
9588.88,9621.68,32.8,SPEAKER_00
9622.53,9642.86,20.33,SPEAKER_00
9644.53,9653.78,9.25,SPEAKER_00
9654.44,9661.29,6.85,SPEAKER_00
9662.2,9693.96,31.76,SPEAKER_00
9695.01,9789.93,94.92,SPEAKER_00
9790.26,9799.48,9.22,SPEAKER_01
